TIME TABLE FOR Fall 2019 SEMESTER [CS Department] <V1.3>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Islamic & Religious Studies (CS-E),,,,,,,,,Programming Fundamentals (CS-E),,,,,,,,,Programming Fundamentals (CS-G),,,,,,,,,Programming Fundamentals (CS-B),,,,,,,,,,,,,,,,,,Finance and Accounting(CS-A),,,,,,,,,Finance and Accounting(CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Calculus and Ana. Geometry (CS-F),,,,,,,,,Programming Fundamentals (CS-F),,,,,,,,,Programming Fundamentals (CS-A),,,,,,,,,,,,,,,,,,Advanced Programming (CS-B),,,,,,,,,Linear Algebra (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Comp. Org. & Assembly Lang. (CS-C),,,,,,,,,Comp. Org. & Assembly Lang. (CS-F),,,,,,,,,Information Retrieval (CS-B),,,,,,,,,,,,,,,,,,Information Retrieval (CS-A),,,,,,,,,Probability & Statistics (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,Object Oriented Programming (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Object Oriented Analysis & Design (CS-A),,,,,,,,,,,,,,,,,,Object Oriented Analysis & Design (CS-B),,,,,,,,,Probability & Statistics (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,Professional Issues in IT (CS-B),,,,,,,,,Digital Image Processing (CS),,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Object Oriented Analysis & Design (CS-C),,,,,,,,,Object Oriented Analysis & Design (CS-D),,,,,,,,,Probability & Statistics (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,,Data Structures (CS-E),,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (CS-B),,,,,,,,,Object Oriented Analysis & Design (CS-E),,,,,,,,,Object Oriented Analysis & Design (CS-F),,,,,,,,,Probability & Statistics (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Web Programming (CS-A),,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,Programming Fundamentals (CS-L),,,,,,,,,Programming Fundamentals (CS-K),,,,,,,,,Linear Algebra (CS-E),,,,,,,,,Linear Algebra (CS-D),,,,,,,,,Entrepreneurship (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,,,,,,,,,,Object Oriented Programming (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (CS-D) ,,,,,,,,,Islamic & Religious Studies (CS-K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,Discrete Structures (CS-F) ,,,,,,,,,Software Engineering (CS-E),,,,,,,,,Linear Algebra (CS-B),,,,,,,,,,,,,,,,,,Islamic & Religious Studies (CS-J),,,,,,,,,Islamic & Religious Studies (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Advanced Programming (CS-A),,,,,,,,,,,,,,,,,,Linear Algebra (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (CS-J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,,,,Theory of Programming Languages (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-L1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,Calculus and Ana. Geometry (CS-L),,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-H1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,Islamic & Religious Studies (CS-H),,,,,,,,,Islamic & Religious Studies (CS-L),,,,,,,,,English Composition and Comprehension (CS-H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-L2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-D1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp and Comp Lab (CS-A1),,,,,,,,,English Comp and Comp Lab (CS-B1),,,,,,,,,English Comp and Comp Lab (CS-F1),,,,,,,,,English Comp and Comp Lab (CS-G1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp and Comp Lab (CS-A2),,,,,,,,,English Comp and Comp Lab (CS-B2),,,,,,,,,English Comp and Comp Lab (CS-F2),,,,,,,,,English Comp and Comp Lab (CS-G2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,Programming Fundamentals Lab (CS-K),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-D),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
